house_id,area_m2,rooms,location,year_built,price
368,218.3,5,Business District,2000,270687.93
369,77.2,2,Downtown,1995,74951.2
370,216.7,5,Downtown,2023,300640.79
371,130.5,3,Business District,2010,192411.69
372,209.1,5,Downtown,2011,235069.29
373,134.3,3,Suburbs,1985,71117.17
374,118.4,3,Business District,2010,148267.38
375,180.3,5,Suburbs,2023,150337.31
376,116.4,3,Suburbs,2000,78034.93
377,123.2,3,Downtown,2018,149722.22
378,84.5,2,Suburbs,2013,55432.87
379,116.3,3,Suburbs,2002,84228.74
380,136.6,3,Downtown,2015,162109.83
381,106.9,3,Suburbs,2009,80410.07
382,201.1,5,Downtown,2004,222709.65
383,90.3,2,Business District,2013,145039.85
384,178.4,4,Coastal,1995,227825.39
385,130.7,3,Downtown,1992,150951.87
386,199.8,5,Suburbs,2000,157187.53
387,165.9,4,Coastal,2003,186381.46
388,185.2,5,Business District,2006,234090.31
389,129.2,3,Suburbs,2014,102685.38
390,101.3,3,Business District,1990,136797.17
391,169.3,4,Suburbs,1983,104272.53
392,183.1,5,Coastal,2007,266875.58
393,133.8,3,Coastal,1992,159860.44
394,195.9,5,Coastal,1983,225722.17
395,106.4,3,Downtown,1994,133027.72
396,191.7,5,Coastal,1990,227255.05
397,162.1,4,Suburbs,1989,107001.52
398,112.4,3,Suburbs,2016,80391.89
399,40.0,1,Downtown,1975,40802.61
400,220.6,6,Downtown,1988,211076.67
