customer_id,age,country,orders,revenue,last_purchase_date
58,24,Egypt,9,1947.17,2024-07-23
59,18,Egypt,2,277.32,2024-01-25
60,33,UAE,4,60.0,2024-11-15
61,51,Lebanon,4,251.07,2024-08-13
62,18,Egypt,5,197.9,2024-06-28
63,39,Saudi Arabia,4,583.52,2024-12-11
64,40,Saudi Arabia,2,293.76,2024-09-20
65,18,Saudi Arabia,7,904.1,2024-01-31
66,20,Egypt,4,212.66,2024-08-30
67,28,UAE,5,631.88,2024-06-23
68,35,Saudi Arabia,4,484.15,2024-06-22
69,38,Jordan,3,45.0,2024-10-28
70,44,Egypt,2,300.4,2024-01-26
71,28,Jordan,5,1216.13,2024-04-04
72,28,Morocco,7,981.22,2024-05-15
73,22,Egypt,5,575.83,2024-03-03
74,29,Lebanon,5,259.76,2024-04-06
75,35,Lebanon,7,798.93,2024-02-14
76,20,UAE,4,603.53,2024-06-07
77,22,Lebanon,3,474.21,2024-05-03
78,42,Morocco,3,476.91,2024-09-04
79,34,UAE,6,485.21,2024-11-04
80,26,Morocco,5,591.21,2024-10-06
81,47,Morocco,3,45.0,2024-12-27
82,35,UAE,2,429.4,2024-12-04
83,56,Egypt,3,300.6,2024-09-13
84,49,Egypt,6,527.43,2024-10-26
85,19,Egypt,5,563.16,2024-03-08
86,52,UAE,5,867.64,2024-11-17
87,19,Morocco,4,334.58,2024-01-23
88,27,Egypt,5,780.59,2024-04-21
89,18,UAE,3,581.48,2024-11-28
90,46,UAE,4,442.7,2024-07-15
91,28,UAE,3,578.1,2024-02-19
92,26,UAE,6,916.41,2024-07-30
93,34,Morocco,5,541.42,2024-07-03
94,31,Jordan,4,717.16,2024-09-25
95,37,Egypt,9,1207.26,2024-06-09
96,28,UAE,4,588.41,2024-12-10
97,38,UAE,4,566.45,2024-01-18
98,36,Egypt,1,46.55,2024-05-14
99,44,Saudi Arabia,4,264.87,2024-09-21
100,35,Egypt,5,506.83,2024-11-16
101,21,Morocco,7,1560.09,2024-03-03
102,44,Egypt,2,227.43,2024-02-24
103,30,Jordan,2,194.2,2024-01-07
104,37,UAE,5,712.23,2024-11-21
105,46,Egypt,6,412.78,2024-01-04
106,34,Egypt,4,454.56,2024-02-10
107,50,Egypt,7,947.68,2024-10-05
108,44,Jordan,4,237.04,2024-12-21
109,33,Morocco,4,251.24,2024-07-19
110,46,UAE,4,301.27,2024-11-16
111,45,Egypt,4,585.26,2024-12-03
112,28,Lebanon,4,633.9,2024-06-05
113,32,Jordan,5,755.16,2024-08-06
114,41,UAE,7,1462.03,2024-06-07
115,27,Saudi Arabia,3,410.18,2024-03-19
116,31,Saudi Arabia,3,393.82,2024-09-22
117,22,Egypt,5,693.74,2024-03-11
118,44,Egypt,3,249.15,2024-03-27
119,23,Jordan,2,243.33,2024-07-04
120,52,Morocco,5,779.94,2024-06-13
121,21,Jordan,5,272.01,2024-08-13
122,49,Morocco,5,169.5,2024-12-06
123,27,Egypt,6,379.85,2024-12-14
124,31,Egypt,5,572.08,2024-05-02
125,29,Saudi Arabia,8,1176.29,2024-02-10
126,29,Egypt,5,303.8,2024-07-27
127,40,Saudi Arabia,5,486.94,2024-02-18
128,31,Lebanon,3,509.16,2024-08-16
129,31,Saudi Arabia,5,464.22,2024-06-05
130,22,Egypt,4,591.32,2024-07-29
131,29,UAE,7,447.46,2024-06-10
132,30,Egypt,3,380.02,2024-08-05
133,28,Jordan,6,523.89,2024-10-28
134,43,Jordan,8,290.31,2024-04-10
135,19,Egypt,3,270.83,2024-11-28
136,30,Egypt,3,309.24,2024-07-26
137,22,Saudi Arabia,6,306.43,2024-04-26
138,36,UAE,9,1319.68,2024-01-24
139,25,Egypt,3,257.8,2024-11-09
140,24,Saudi Arabia,6,315.93,2024-12-29
141,43,Egypt,4,813.75,2024-12-12
142,28,Saudi Arabia,7,970.35,2024-04-26
143,40,Jordan,5,791.71,2024-04-12
144,37,UAE,8,1350.71,2024-08-25
145,43,Saudi Arabia,3,313.77,2024-11-14
146,37,UAE,4,550.17,2024-08-27
147,25,Egypt,6,717.41,2024-12-27
148,39,Jordan,9,135.0,2024-06-07
149,18,Egypt,5,969.41,2024-02-10
150,33,Lebanon,9,1236.01,2024-09-16
151,20,Lebanon,6,90.0,2024-03-25
152,34,Egypt,4,801.63,2024-07-09
153,39,Saudi Arabia,4,459.24,2024-05-05
154,34,Saudi Arabia,5,729.67,2024-09-17
155,38,Egypt,2,305.48,2024-03-13
156,37,UAE,6,250.06,2024-05-19
157,35,Saudi Arabia,4,673.27,2024-01-16
158,36,Saudi Arabia,7,693.38,2024-07-11
159,48,Egypt,6,947.93,2024-08-25
160,32,Morocco,3,359.7,2024-09-17
161,29,UAE,5,612.64,2024-06-20
162,31,Saudi Arabia,10,1156.89,2024-12-16
163,27,UAE,6,368.87,2024-01-25
164,35,UAE,4,656.31,2024-07-28
165,39,UAE,5,856.6,2024-10-04
166,48,Egypt,4,664.96,2024-03-16
167,48,Lebanon,4,608.07,2024-05-06
168,18,Jordan,6,624.01,2024-02-20
169,38,Egypt,9,1370.37,2024-09-18
170,23,UAE,5,586.88,2024-02-15
171,41,Saudi Arabia,7,876.69,2024-10-20
172,35,Jordan,3,610.61,2024-12-11
173,49,Egypt,2,131.94,2024-08-20
174,37,Jordan,3,284.87,2024-03-16
175,44,UAE,7,742.65,2024-04-19
176,33,Saudi Arabia,2,244.55,2024-09-02
177,39,UAE,6,640.37,2024-12-15
178,18,Egypt,2,435.5,2024-11-16
179,39,Lebanon,6,1157.99,2024-10-18
180,29,UAE,5,698.57,2024-02-08
181,46,Jordan,6,855.23,2024-10-14
182,33,UAE,5,399.31,2024-04-16
183,65,Egypt,4,667.76,2024-02-10
184,18,Jordan,2,207.86,2024-03-05
185,33,Jordan,4,217.4,2024-06-12
186,44,UAE,2,144.77,2024-10-22
187,43,Egypt,1,250.86,2024-01-02
188,38,Egypt,5,623.25,2024-07-07
189,42,UAE,5,516.09,2024-06-27
190,39,UAE,5,1030.45,2024-01-23
191,18,Saudi Arabia,8,1149.07,2024-10-10
192,32,Saudi Arabia,7,788.48,2024-11-20
193,30,Saudi Arabia,4,642.1,2024-01-18
194,52,UAE,3,374.38,2024-04-11
195,28,Morocco,7,164.38,2024-01-21
196,35,Egypt,1,110.83,2024-04-28
197,18,Jordan,4,654.76,2024-08-10
198,40,UAE,9,1489.43,2024-09-12
199,18,Jordan,4,605.18,2024-12-21
200,36,Egypt,5,993.63,2024-03-16
201,52,Egypt,3,481.01,2024-11-14
202,35,Lebanon,5,451.97,2024-12-26
203,42,Saudi Arabia,1,15.0,2024-02-08
204,36,Egypt,5,730.59,2024-11-02
205,34,Egypt,4,363.59,2024-07-08
206,32,Egypt,4,741.1,2024-07-28
207,24,Egypt,7,827.71,2024-04-12
208,41,Saudi Arabia,7,964.07,2024-10-08
209,44,Egypt,4,550.28,2024-01-23
210,40,UAE,2,220.75,2024-06-30
211,48,Egypt,3,278.3,2024-09-16
212,40,Egypt,4,785.97,2024-07-14
213,35,Morocco,4,315.93,2024-04-22
214,56,Lebanon,4,659.69,2024-10-28
215,21,Egypt,8,1063.88,2024-01-11
216,39,Jordan,3,136.41,2024-08-30
217,40,UAE,4,673.39,2024-10-17
218,41,Saudi Arabia,2,215.9,2024-03-21
219,31,Jordan,6,1459.4,2024-12-17
220,48,UAE,3,603.03,2024-05-01
221,32,Saudi Arabia,4,459.35,2024-06-15
222,34,Jordan,8,1214.34,2024-09-16
223,33,Saudi Arabia,4,650.47,2024-11-13
224,38,UAE,4,229.89,2024-07-27
225,31,Saudi Arabia,5,777.87,2024-07-24
226,37,Egypt,7,753.24,2024-04-18
227,35,Saudi Arabia,4,503.31,2024-06-25
228,43,Egypt,6,386.68,2024-04-18
229,44,Saudi Arabia,3,348.38,2024-10-07
230,51,UAE,7,407.9,2024-04-18
231,18,Egypt,3,437.56,2024-01-20
232,40,Egypt,6,559.32,2024-05-24
233,18,Jordan,4,332.3,2024-03-09
234,44,Egypt,6,660.77,2024-04-28
235,36,Egypt,5,656.0,2024-02-28
236,32,Jordan,5,977.24,2024-07-20
237,32,Egypt,9,1139.7,2024-09-23
238,47,UAE,5,260.07,2024-09-09
239,35,UAE,3,340.46,2024-05-10
240,46,Morocco,5,756.4,2024-06-14
241,50,Egypt,8,472.89,2024-10-06
242,43,UAE,7,979.26,2024-03-08
243,18,UAE,3,249.55,2024-11-12
244,47,Jordan,5,1034.7,2024-11-17
245,35,Egypt,3,254.53,2024-01-16
246,48,Egypt,3,681.85,2024-11-02
247,18,UAE,5,622.42,2024-10-07
248,20,Jordan,5,490.38,2024-07-01
249,23,Morocco,7,227.74,2024-03-14
250,37,UAE,6,939.14,2024-10-21
251,30,Jordan,3,333.63,2024-12-29
252,51,Egypt,10,1180.83,2024-07-15
253,24,Egypt,5,895.13,2024-02-10
254,57,UAE,6,1287.2,2024-08-23
255,34,Saudi Arabia,5,510.17,2024-06-08
256,24,Morocco,5,406.88,2024-07-18
257,55,Egypt,5,705.49,2024-04-18
258,24,Morocco,3,267.95,2024-09-13
259,23,Egypt,3,387.85,2024-12-31
260,47,UAE,9,901.52,2024-01-28
261,43,Egypt,5,552.07,2024-05-30
262,32,Saudi Arabia,4,427.77,2024-09-12
263,35,UAE,6,779.07,2024-06-18
264,26,Saudi Arabia,4,674.26,2024-09-02
265,22,Saudi Arabia,2,291.41,2024-03-21
266,48,Egypt,5,572.72,2024-08-04
267,18,Morocco,6,931.97,2024-09-21
268,25,UAE,7,1311.48,2024-06-07
269,41,UAE,5,517.45,2024-05-16
270,54,Egypt,4,288.34,2024-07-18
271,26,Egypt,4,586.55,2024-03-29
272,24,UAE,2,137.91,2024-08-29
273,27,Egypt,4,615.18,2024-07-19
274,39,Morocco,4,610.45,2024-05-07
275,27,Jordan,3,220.32,2024-07-19
276,18,Egypt,5,837.37,2024-09-17
277,37,Jordan,2,72.57,2024-04-02
278,38,Egypt,9,1029.9,2024-07-22
279,40,Jordan,5,887.79,2024-03-03
280,42,Egypt,3,308.09,2024-01-03
281,43,Egypt,5,837.4,2024-01-12
282,30,UAE,6,907.18,2024-02-09
283,57,Egypt,3,373.74,2024-03-14
284,35,UAE,6,1006.14,2024-06-08
285,40,Jordan,5,98.55,2024-11-17
286,44,Egypt,6,958.38,2024-05-23
287,44,UAE,4,418.9,2024-06-02
288,47,Morocco,8,752.91,2024-05-23
289,35,Morocco,7,1196.14,2024-06-30
290,32,Egypt,6,142.29,2024-04-12
291,49,Saudi Arabia,6,797.53,2024-01-29
292,55,UAE,1,117.48,2024-03-16
293,34,Lebanon,3,263.47,2024-08-29
294,44,UAE,3,415.28,2024-10-02
295,25,Saudi Arabia,7,1167.03,2024-08-29
296,41,Saudi Arabia,7,385.03,2024-12-07
297,38,Saudi Arabia,5,460.51,2024-01-29
298,39,Saudi Arabia,4,524.83,2024-04-07
299,44,Egypt,5,545.35,2024-02-27
300,25,Jordan,6,745.88,2024-01-25
