employee_id,department,age,experience_years,salary,performance_score,attrition
191,Marketing,28,3,7940.69,5.0,No
192,Engineering,24,1,8968.26,4.0,No
193,Support,33,6,7352.84,3.6,No
194,Marketing,30,5,9315.76,5.0,No
195,Engineering,29,2,9213.88,3.7,No
196,Engineering,27,0,8556.24,3.0,No
197,Sales,31,3,7778.96,4.6,No
198,Engineering,34,6,9916.5,3.9,No
199,Marketing,28,1,7228.57,4.6,Yes
200,Marketing,23,0,5702.47,3.5,No
201,Sales,31,5,7177.81,3.9,No
202,Engineering,33,5,11312.49,3.7,No
203,Engineering,29,0,8414.94,3.7,No
204,Engineering,32,6,10212.4,3.0,No
205,HR,23,0,5740.37,4.5,No
206,Support,29,3,5664.54,3.4,No
207,Engineering,39,12,12625.38,4.0,Yes
208,Engineering,30,1,9285.77,2.8,No
209,Sales,23,1,7023.94,4.0,No
210,Engineering,29,6,9502.48,3.8,No
211,Engineering,29,7,11319.57,3.7,No
212,Finance,28,2,8246.98,2.9,No
213,Engineering,44,18,12853.42,3.8,No
214,HR,26,3,7502.29,3.1,No
215,Support,22,0,5110.33,3.9,No
216,Support,39,14,8684.73,4.7,No
217,Engineering,34,5,11337.29,4.4,No
218,Marketing,30,1,6502.75,3.3,No
219,Engineering,25,0,8663.71,4.0,No
220,Engineering,40,11,11278.02,3.3,No
221,Finance,41,18,11152.62,4.0,Yes
222,Engineering,25,1,7964.33,3.7,No
223,HR,26,0,5966.92,2.9,No
224,Engineering,23,1,9481.2,4.8,No
225,Engineering,35,7,12017.99,3.5,No
226,Engineering,42,16,12759.09,3.5,No
227,Marketing,37,8,8183.52,3.2,No
228,Finance,23,1,7465.5,4.4,No
229,Marketing,27,1,6089.98,2.7,No
230,Engineering,24,2,9225.83,3.3,No
231,Marketing,23,0,5523.97,3.4,No
232,Finance,31,8,8848.93,2.8,No
233,Engineering,31,7,10355.5,4.0,No
234,Engineering,27,0,11253.37,3.9,No
235,Engineering,34,11,11240.67,3.5,No
236,Sales,25,1,7204.33,3.7,Yes
237,Marketing,26,4,7477.32,3.3,No
238,Finance,34,12,11506.33,3.3,No
239,Finance,29,1,7942.66,3.4,No
240,Support,29,5,7141.11,2.1,No
241,Sales,23,1,7237.18,2.8,No
242,Engineering,27,1,10108.75,3.8,No
243,Finance,29,0,7422.49,3.5,No
244,Sales,23,1,6414.02,3.9,Yes
245,Finance,29,3,8446.26,3.6,No
246,Engineering,29,0,8958.55,3.1,No
247,Sales,27,0,8014.31,3.4,No
248,Engineering,26,0,8413.22,3.1,No
249,Engineering,25,0,8934.69,3.4,No
250,Marketing,24,2,7590.21,2.6,No
