subscription_id,user_id,plan,monthly_fee,signup_date,cancel_date,country,referral_source,autopay
8108,344,Premium,14.99,2024-04-12,,Jordan,Social Media,False
8109,147,Basic,4.99,2024-09-20,2024-11-16,Morocco,Organic,True
8110,313,Basic,4.99,2024-05-08,,Lebanon,Referral,True
8111,168,Premium,14.99,2024-02-25,,Egypt,Referral,True
8112,204,Basic,4.99,2023-10-11,2024-02-18,Jordan,Referral,True
8113,155,Standard,9.99,2024-09-25,,Saudi Arabia,Organic,True
8114,142,Standard,9.99,2023-06-05,,Jordan,Partner,True
8115,294,Premium,14.99,2023-06-09,,Lebanon,Ad Campaign,False
8116,278,Basic,4.99,2024-09-11,,Lebanon,Partner,True
8117,133,Standard,9.99,2024-10-01,,Jordan,Organic,True
8118,304,Basic,4.99,2024-04-30,2024-05-17,UAE,Referral,False
8119,16,Standard,9.99,2024-02-16,,Lebanon,Social Media,True
8120,9,Standard,9.99,2023-10-10,,Lebanon,Ad Campaign,True
8121,341,Basic,4.99,2024-01-21,2024-03-04,Jordan,Organic,False
8122,344,Basic,4.99,2023-06-11,,Lebanon,Social Media,True
8123,120,Basic,4.99,2023-12-27,,UAE,Social Media,True
8124,324,Premium,14.99,2023-07-03,,Saudi Arabia,Organic,True
8125,73,Standard,9.99,2023-08-22,,Lebanon,Referral,False
8126,111,Standard,9.99,2023-11-28,,Jordan,Partner,False
8127,341,Basic,4.99,2024-02-24,,UAE,Referral,True
8128,321,Premium,14.99,2024-08-14,,Egypt,Social Media,True
8129,4,Basic,4.99,2024-04-16,2024-10-25,Lebanon,Referral,True
8130,235,Standard,9.99,2024-03-31,,Jordan,Referral,True
8131,28,Basic,4.99,2023-12-12,,Saudi Arabia,Social Media,True
8132,243,Basic,4.99,2024-02-18,2024-05-28,Morocco,Partner,False
8133,277,Premium,14.99,2024-09-30,,Morocco,Ad Campaign,True
8134,294,Basic,4.99,2023-12-07,,Egypt,Social Media,True
8135,101,Basic,4.99,2023-11-19,,Lebanon,Organic,True
8136,298,Basic,4.99,2023-06-22,,UAE,Referral,True
8137,157,Premium,14.99,2024-02-08,,Lebanon,Social Media,True
8138,257,Basic,4.99,2024-03-31,,Egypt,Ad Campaign,True
8139,327,Standard,9.99,2024-04-21,,Morocco,Referral,True
8140,348,Premium,14.99,2024-07-08,,UAE,Social Media,True
8141,261,Basic,4.99,2024-04-24,,Saudi Arabia,Referral,True
8142,348,Basic,4.99,2024-09-30,,Egypt,Organic,False
8143,231,Basic,4.99,2024-04-04,2024-07-02,Morocco,Social Media,True
8144,306,Standard,9.99,2024-06-15,,Saudi Arabia,Organic,True
8145,116,Basic,4.99,2023-10-15,,Lebanon,Organic,True
8146,25,Basic,4.99,2024-10-06,,Lebanon,Partner,True
8147,182,Basic,4.99,2023-12-27,,Saudi Arabia,Social Media,False
8148,14,Standard,9.99,2024-05-07,2024-11-05,Saudi Arabia,Social Media,False
8149,190,Standard,9.99,2023-12-11,,Morocco,Ad Campaign,True
8150,234,Standard,9.99,2023-10-23,2024-07-16,UAE,Social Media,True
8151,331,Standard,9.99,2023-08-28,,UAE,Ad Campaign,True
8152,216,Basic,4.99,2023-06-28,,Egypt,Ad Campaign,True
8153,13,Basic,4.99,2024-09-26,,Lebanon,Social Media,True
8154,33,Standard,9.99,2024-09-05,,Egypt,Ad Campaign,False
8155,346,Basic,4.99,2023-08-19,2023-11-29,Morocco,Ad Campaign,False
8156,7,Standard,9.99,2023-12-06,,UAE,Social Media,False
8157,48,Basic,4.99,2024-01-09,2024-03-18,Saudi Arabia,Referral,False
8158,326,Premium,14.99,2024-05-04,,Saudi Arabia,Referral,True
8159,118,Standard,9.99,2024-06-02,,Morocco,Referral,False
8160,256,Standard,9.99,2023-07-01,,Morocco,Ad Campaign,False
8161,159,Basic,4.99,2023-06-09,,UAE,Ad Campaign,True
8162,18,Standard,9.99,2024-07-26,,Lebanon,Social Media,True
8163,280,Standard,9.99,2024-10-09,,Morocco,Organic,False
8164,157,Basic,4.99,2023-06-15,,Lebanon,Partner,True
8165,294,Basic,4.99,2023-12-01,2024-07-24,Jordan,Ad Campaign,True
8166,104,Standard,9.99,2024-03-30,,Jordan,Social Media,True
8167,87,Standard,9.99,2024-09-05,,Morocco,Organic,True
8168,288,Standard,9.99,2024-08-20,,Morocco,Organic,True
8169,148,Standard,9.99,2024-10-01,,Morocco,Social Media,False
8170,223,Basic,4.99,2024-01-06,2024-02-06,Saudi Arabia,Social Media,True
8171,314,Premium,14.99,2023-11-25,2024-01-29,Morocco,Social Media,False
8172,294,Premium,14.99,2024-03-23,2024-12-22,Morocco,Social Media,True
8173,219,Basic,4.99,2024-06-13,2024-09-15,Jordan,Organic,False
8174,161,Basic,4.99,2024-01-10,,Jordan,Partner,False
8175,60,Basic,4.99,2023-10-16,,UAE,Partner,True
8176,89,Standard,9.99,2024-03-03,,Saudi Arabia,Ad Campaign,True
8177,26,Standard,9.99,2024-01-23,,Jordan,Ad Campaign,True
8178,301,Basic,4.99,2024-08-29,,Saudi Arabia,Social Media,False
8179,157,Standard,9.99,2023-06-23,,Saudi Arabia,Social Media,True
8180,238,Standard,9.99,2024-03-23,,Jordan,Referral,True
8181,40,Standard,9.99,2023-12-11,,Saudi Arabia,Organic,True
8182,253,Basic,4.99,2023-12-20,,Saudi Arabia,Organic,False
8183,253,Standard,9.99,2024-05-12,,UAE,Social Media,True
8184,228,Basic,4.99,2024-02-21,,Lebanon,Social Media,True
8185,30,Basic,4.99,2024-04-07,2024-05-29,Morocco,Social Media,True
8186,90,Standard,9.99,2024-05-31,,Saudi Arabia,Social Media,True
8187,3,Basic,4.99,2023-06-28,2024-04-20,Jordan,Organic,False
8188,223,Premium,14.99,2024-07-14,,Morocco,Referral,True
8189,130,Premium,14.99,2023-11-16,,UAE,Organic,True
8190,18,Standard,9.99,2024-02-29,,Jordan,Social Media,True
8191,243,Premium,14.99,2024-08-18,,Lebanon,Social Media,False
8192,112,Basic,4.99,2023-11-29,2023-12-29,Jordan,Ad Campaign,True
8193,251,Basic,4.99,2024-03-09,,Morocco,Referral,True
8194,322,Basic,4.99,2023-12-02,,Lebanon,Organic,True
8195,227,Standard,9.99,2024-05-29,,Saudi Arabia,Organic,True
8196,307,Premium,14.99,2023-07-19,,Lebanon,Ad Campaign,True
8197,152,Standard,9.99,2024-09-16,,Egypt,Social Media,False
8198,122,Basic,4.99,2024-03-17,,Egypt,Social Media,True
8199,283,Standard,9.99,2024-01-14,,Saudi Arabia,Organic,False
8200,242,Basic,4.99,2024-01-12,,UAE,Organic,False
8201,139,Standard,9.99,2024-08-07,,Morocco,Referral,False
8202,201,Standard,9.99,2024-08-13,,Saudi Arabia,Organic,True
8203,182,Basic,4.99,2023-08-11,,Morocco,Social Media,False
8204,251,Basic,4.99,2024-01-06,,UAE,Organic,True
8205,33,Basic,4.99,2024-06-22,2024-11-07,Egypt,Social Media,False
8206,39,Standard,9.99,2023-10-03,2023-11-26,Jordan,Organic,True
8207,271,Basic,4.99,2024-07-23,,Morocco,Social Media,True
8208,278,Standard,9.99,2024-09-07,,Morocco,Social Media,True
8209,170,Basic,4.99,2024-01-30,,Morocco,Organic,False
8210,201,Standard,9.99,2024-03-31,2024-07-09,Saudi Arabia,Ad Campaign,True
8211,254,Premium,14.99,2024-03-19,2024-03-26,Morocco,Referral,True
8212,136,Basic,4.99,2023-10-26,,UAE,Organic,True
8213,168,Standard,9.99,2023-12-23,,UAE,Ad Campaign,True
8214,233,Premium,14.99,2024-08-10,,Morocco,Ad Campaign,True
8215,187,Premium,14.99,2023-12-08,,Lebanon,Referral,False
8216,116,Basic,4.99,2023-12-30,,Egypt,Referral,True
8217,150,Basic,4.99,2024-07-05,,Morocco,Social Media,False
8218,3,Basic,4.99,2024-08-15,,Saudi Arabia,Ad Campaign,True
8219,326,Basic,4.99,2024-04-13,,Saudi Arabia,Organic,True
8220,109,Standard,9.99,2024-02-26,,Morocco,Social Media,True
8221,294,Basic,4.99,2024-07-19,,Jordan,Referral,True
8222,235,Basic,4.99,2024-06-18,,Jordan,Social Media,True
8223,309,Basic,4.99,2023-08-11,2023-08-19,UAE,Social Media,True
8224,165,Basic,4.99,2024-07-03,2024-08-16,Saudi Arabia,Organic,True
8225,305,Standard,9.99,2024-08-19,,Morocco,Ad Campaign,False
8226,50,Standard,9.99,2023-09-06,,Egypt,Organic,False
8227,325,Premium,14.99,2023-12-01,,Lebanon,Partner,True
8228,215,Premium,14.99,2024-09-20,,Saudi Arabia,Organic,False
8229,331,Standard,9.99,2023-09-21,,Jordan,Referral,False
8230,158,Standard,9.99,2023-09-17,,Egypt,Organic,True
8231,337,Basic,4.99,2023-10-20,,Saudi Arabia,Referral,True
8232,267,Premium,14.99,2023-11-19,,Saudi Arabia,Partner,True
8233,139,Basic,4.99,2023-12-29,,Saudi Arabia,Organic,False
8234,209,Basic,4.99,2024-03-23,,UAE,Social Media,True
8235,59,Premium,14.99,2024-03-18,,Jordan,Ad Campaign,True
8236,6,Basic,4.99,2024-01-29,,Morocco,Organic,True
8237,320,Basic,4.99,2023-10-11,,Lebanon,Referral,False
8238,185,Standard,9.99,2023-07-01,2023-07-05,Egypt,Social Media,True
8239,147,Standard,9.99,2023-08-18,,UAE,Social Media,False
8240,321,Standard,9.99,2023-08-04,,UAE,Organic,True
8241,8,Basic,4.99,2023-06-24,2023-11-25,Egypt,Ad Campaign,True
8242,240,Basic,4.99,2023-09-09,,Lebanon,Organic,True
8243,118,Basic,4.99,2023-06-30,,Lebanon,Referral,True
8244,191,Basic,4.99,2023-10-28,,Morocco,Ad Campaign,False
8245,31,Basic,4.99,2024-07-25,,Saudi Arabia,Referral,True
8246,68,Standard,9.99,2023-11-21,,UAE,Organic,True
8247,252,Basic,4.99,2023-10-05,2024-03-02,Morocco,Social Media,True
8248,213,Standard,9.99,2024-04-08,,Egypt,Social Media,True
8249,341,Premium,14.99,2024-05-10,,Saudi Arabia,Partner,True
8250,16,Standard,9.99,2023-06-14,2024-06-01,Saudi Arabia,Partner,False
8251,112,Basic,4.99,2023-07-16,2024-03-19,Saudi Arabia,Organic,False
8252,10,Basic,4.99,2024-06-22,,Lebanon,Social Media,False
8253,280,Standard,9.99,2024-02-27,,Egypt,Referral,False
8254,205,Premium,14.99,2024-10-05,,Jordan,Ad Campaign,True
8255,266,Basic,4.99,2024-08-23,2024-09-16,Saudi Arabia,Organic,True
8256,315,Standard,9.99,2024-07-20,,Egypt,Social Media,True
8257,143,Standard,9.99,2024-07-16,,Egypt,Referral,True
8258,293,Basic,4.99,2024-08-17,,Morocco,Social Media,False
8259,12,Premium,14.99,2024-08-18,,UAE,Social Media,True
8260,86,Basic,4.99,2024-08-28,,Jordan,Organic,True
8261,335,Basic,4.99,2023-11-22,2024-12-20,Jordan,Social Media,True
8262,126,Standard,9.99,2023-10-20,,Egypt,Social Media,True
8263,13,Standard,9.99,2023-10-08,,Morocco,Ad Campaign,True
8264,286,Basic,4.99,2023-08-29,,Saudi Arabia,Partner,True
8265,170,Standard,9.99,2024-03-15,2024-05-14,Lebanon,Ad Campaign,True
8266,262,Basic,4.99,2024-07-19,,Morocco,Organic,True
8267,74,Standard,9.99,2023-09-27,,Lebanon,Organic,True
8268,183,Basic,4.99,2024-01-16,2024-08-21,Saudi Arabia,Social Media,True
8269,290,Basic,4.99,2024-01-09,,UAE,Ad Campaign,True
8270,259,Standard,9.99,2024-06-26,2024-09-04,Saudi Arabia,Organic,True
8271,224,Standard,9.99,2024-05-29,,Jordan,Referral,True
8272,14,Basic,4.99,2023-09-10,,UAE,Referral,True
8273,232,Standard,9.99,2024-09-19,2024-09-23,Jordan,Organic,False
8274,138,Basic,4.99,2024-06-06,,Egypt,Social Media,False
8275,102,Basic,4.99,2024-04-13,,Morocco,Social Media,False
8276,320,Standard,9.99,2024-08-23,,Jordan,Partner,True
8277,228,Premium,14.99,2023-08-17,,Lebanon,Partner,False
8278,248,Basic,4.99,2024-07-22,,Egypt,Social Media,True
8279,120,Basic,4.99,2024-06-17,2024-07-27,Jordan,Organic,False
8280,250,Standard,9.99,2023-06-06,2023-09-07,Morocco,Social Media,True
8281,323,Basic,4.99,2024-03-26,,Egypt,Organic,False
8282,302,Basic,4.99,2023-08-19,2023-10-28,Jordan,Social Media,True
8283,75,Basic,4.99,2023-10-04,,Lebanon,Organic,True
8284,228,Basic,4.99,2024-10-10,,Egypt,Organic,True
8285,284,Standard,9.99,2023-06-22,,Lebanon,Social Media,True
8286,237,Standard,9.99,2024-08-23,,Jordan,Organic,True
8287,127,Basic,4.99,2024-09-17,,Jordan,Ad Campaign,True
8288,329,Standard,9.99,2024-02-26,,Jordan,Organic,True
8289,30,Standard,9.99,2023-09-28,,Egypt,Ad Campaign,True
8290,225,Standard,9.99,2024-09-22,,Morocco,Organic,False
8291,118,Premium,14.99,2023-11-10,,UAE,Organic,True
8292,335,Basic,4.99,2023-09-26,,Morocco,Social Media,True
8293,307,Basic,4.99,2024-03-31,2024-05-29,Egypt,Organic,True
8294,3,Premium,14.99,2023-07-31,,Morocco,Partner,True
8295,233,Standard,9.99,2023-10-02,,Saudi Arabia,Referral,False
8296,313,Basic,4.99,2024-02-03,,Jordan,Ad Campaign,False
8297,42,Standard,9.99,2024-02-21,,UAE,Ad Campaign,True
8298,118,Basic,4.99,2023-11-26,,Lebanon,Partner,True
8299,5,Basic,4.99,2024-09-23,,Morocco,Social Media,False
8300,28,Premium,14.99,2023-06-02,,Lebanon,Organic,False
8301,29,Standard,9.99,2024-08-01,,Jordan,Referral,True
8302,137,Premium,14.99,2024-06-03,,Saudi Arabia,Social Media,True
8303,132,Basic,4.99,2023-10-12,,Saudi Arabia,Partner,True
8304,29,Basic,4.99,2023-12-16,,Morocco,Organic,True
8305,209,Basic,4.99,2023-12-20,,Lebanon,Organic,True
8306,168,Standard,9.99,2024-02-07,,UAE,Organic,True
8307,282,Basic,4.99,2023-07-07,2023-10-11,UAE,Organic,False
8308,225,Standard,9.99,2024-09-07,,Morocco,Ad Campaign,False
8309,9,Basic,4.99,2024-05-26,,Morocco,Social Media,True
8310,146,Basic,4.99,2023-08-28,2023-09-06,Saudi Arabia,Social Media,True
8311,297,Standard,9.99,2024-06-15,2024-08-27,Morocco,Organic,True
8312,343,Premium,14.99,2024-05-07,,Morocco,Partner,False
8313,335,Premium,14.99,2024-01-24,,Saudi Arabia,Social Media,True
8314,216,Premium,14.99,2024-09-03,,UAE,Organic,True
8315,90,Premium,14.99,2024-07-08,,Egypt,Organic,True
8316,136,Basic,4.99,2024-08-26,2024-12-15,Jordan,Social Media,False
8317,146,Premium,14.99,2024-02-08,,Lebanon,Referral,True
8318,328,Basic,4.99,2023-12-01,,UAE,Referral,True
8319,258,Basic,4.99,2023-10-28,,UAE,Organic,True
8320,161,Standard,9.99,2023-09-03,,Egypt,Referral,True
8321,300,Standard,9.99,2024-01-27,,Egypt,Ad Campaign,True
8322,181,Standard,9.99,2023-12-15,,Saudi Arabia,Organic,True
8323,261,Standard,9.99,2024-05-30,2024-06-23,Lebanon,Ad Campaign,True
8324,89,Standard,9.99,2024-05-22,,Saudi Arabia,Organic,True
8325,92,Premium,14.99,2024-04-23,,Egypt,Organic,False
8326,257,Basic,4.99,2024-01-04,,Jordan,Organic,True
8327,134,Basic,4.99,2024-02-12,,Lebanon,Ad Campaign,True
8328,302,Standard,9.99,2024-08-14,2024-11-23,UAE,Organic,False
8329,70,Standard,9.99,2024-07-16,2024-10-11,UAE,Organic,True
8330,6,Premium,14.99,2024-06-18,,Jordan,Organic,False
8331,272,Standard,9.99,2024-06-10,,Egypt,Ad Campaign,True
8332,164,Standard,9.99,2023-07-27,2023-11-09,Morocco,Organic,False
8333,198,Standard,9.99,2024-05-24,,Lebanon,Social Media,True
8334,202,Basic,4.99,2024-02-12,2024-07-09,Egypt,Organic,False
8335,77,Standard,9.99,2024-03-04,2024-05-02,Lebanon,Partner,True
8336,342,Standard,9.99,2023-12-16,,Saudi Arabia,Social Media,False
8337,54,Premium,14.99,2023-08-12,,Egypt,Organic,False
8338,92,Standard,9.99,2023-09-01,,Lebanon,Referral,False
8339,115,Standard,9.99,2024-05-30,,Lebanon,Social Media,True
8340,282,Basic,4.99,2024-01-01,2024-05-16,Saudi Arabia,Organic,True
8341,118,Standard,9.99,2023-10-02,,Saudi Arabia,Social Media,True
8342,87,Basic,4.99,2023-09-09,2023-11-20,Egypt,Organic,True
8343,283,Standard,9.99,2023-07-05,,Saudi Arabia,Referral,True
8344,8,Basic,4.99,2024-08-04,,UAE,Partner,True
8345,238,Standard,9.99,2024-04-29,,Egypt,Ad Campaign,True
8346,132,Standard,9.99,2023-06-16,2023-09-30,Morocco,Social Media,True
8347,196,Standard,9.99,2024-03-04,,Saudi Arabia,Partner,False
8348,70,Standard,9.99,2023-10-25,2024-01-25,Egypt,Organic,True
8349,47,Basic,4.99,2024-08-16,,Saudi Arabia,Social Media,True
8350,268,Basic,4.99,2024-02-08,,Lebanon,Organic,False
8351,17,Basic,4.99,2024-08-15,2024-12-01,Saudi Arabia,Organic,True
8352,73,Basic,4.99,2024-03-11,,Egypt,Ad Campaign,True
8353,282,Premium,14.99,2024-03-09,,Saudi Arabia,Partner,True
8354,77,Premium,14.99,2023-06-16,,Jordan,Organic,True
8355,124,Basic,4.99,2024-08-01,,Egypt,Organic,True
8356,14,Basic,4.99,2023-11-03,2024-02-10,Morocco,Referral,True
8357,127,Basic,4.99,2023-10-01,,Egypt,Partner,False
8358,28,Standard,9.99,2024-05-13,,Lebanon,Ad Campaign,True
8359,2,Premium,14.99,2023-07-07,,Egypt,Ad Campaign,True
8360,3,Basic,4.99,2023-08-20,2024-10-26,Jordan,Social Media,False
8361,257,Basic,4.99,2024-06-13,,Lebanon,Referral,False
8362,31,Standard,9.99,2024-10-11,,Lebanon,Social Media,False
8363,224,Standard,9.99,2024-10-09,,Morocco,Organic,True
8364,12,Standard,9.99,2024-04-28,2024-08-21,UAE,Ad Campaign,True
8365,219,Basic,4.99,2023-06-01,2023-11-11,Egypt,Ad Campaign,True
8366,267,Standard,9.99,2024-03-14,2024-07-10,Saudi Arabia,Organic,True
8367,34,Standard,9.99,2024-07-31,,UAE,Referral,True
8368,258,Premium,14.99,2024-06-15,,Lebanon,Partner,True
8369,218,Standard,9.99,2023-12-25,,Lebanon,Partner,True
8370,301,Standard,9.99,2024-07-09,,Jordan,Organic,False
8371,55,Standard,9.99,2024-03-08,,Saudi Arabia,Partner,True
8372,89,Basic,4.99,2024-02-06,2024-06-16,Saudi Arabia,Organic,True
8373,222,Basic,4.99,2024-03-20,,UAE,Referral,True
8374,70,Basic,4.99,2023-11-24,,Lebanon,Organic,True
8375,288,Basic,4.99,2024-05-18,2024-07-29,UAE,Partner,False
8376,191,Basic,4.99,2023-11-25,,Jordan,Referral,True
8377,151,Standard,9.99,2024-06-25,,Saudi Arabia,Partner,True
8378,131,Premium,14.99,2023-12-10,,Morocco,Referral,True
8379,110,Standard,9.99,2024-01-30,,UAE,Organic,False
8380,211,Basic,4.99,2024-04-03,,Morocco,Organic,True
8381,152,Basic,4.99,2023-07-13,,UAE,Ad Campaign,True
8382,301,Standard,9.99,2023-09-19,2023-10-15,Jordan,Social Media,False
8383,306,Basic,4.99,2024-01-06,,Jordan,Ad Campaign,True
8384,69,Standard,9.99,2023-07-18,2023-08-13,Morocco,Partner,True
8385,98,Basic,4.99,2024-07-10,,Jordan,Social Media,False
8386,24,Basic,4.99,2023-07-28,2023-10-08,Egypt,Referral,True
8387,260,Standard,9.99,2024-03-06,2024-05-04,Lebanon,Referral,False
8388,164,Premium,14.99,2024-02-01,,Jordan,Partner,True
8389,322,Premium,14.99,2024-03-02,,Lebanon,Referral,True
8390,177,Basic,4.99,2024-01-20,,Jordan,Partner,True
8391,258,Premium,14.99,2024-03-13,,Saudi Arabia,Organic,True
8392,55,Standard,9.99,2023-07-24,,Saudi Arabia,Social Media,True
8393,172,Premium,14.99,2024-02-18,,Lebanon,Partner,True
8394,17,Basic,4.99,2023-12-21,,Egypt,Social Media,True
8395,149,Standard,9.99,2023-12-25,2024-01-31,Jordan,Organic,False
8396,52,Basic,4.99,2024-05-22,,Morocco,Organic,True
8397,249,Basic,4.99,2024-06-12,,Lebanon,Social Media,True
